filename,raw_no_seniors,raw_yes_seniors
AL_ALBERTVILLE_Albertville High School_2009_18.jpg,2,254
AL_ALBERTVILLE_Albertville High School_2009_3.jpg,243,13
AL_ALBERTVILLE_Albertville High School_2009_57.jpg,242,14
CA_DALY CITY_Jefferson High School_1980_12.jpg,243,13
CA_DALY CITY_Jefferson High School_1980_16.jpg,242,14
ND_DICKINSON_Trinity High School_1984_11.jpg,3,253
ND_DICKINSON_Trinity High School_1984_14.jpg,243,13
ND_DICKINSON_Trinity High School_1984_72.jpg,243,13
OR_COQUILLE_Coquille High School_1997_46.jpg,243,13
OR_COQUILLE_Coquille High School_1997_9.jpg,243,13
TX_GRAPEVINE_Grapevine High School_2004_446.jpg,243,13
TX_GRAPEVINE_Grapevine High School_2004_79.jpg,244,12
